slide_id,source,metric,model_version,n_fovs_on_slide,baseline_mean,baseline_std,baseline_median,baseline_mad,flags,no_data_reason
RUB-62501483,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,119.043,59.856,107.5,51.1497,,
RUB-62501484,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,70.46,39.119,61.0,31.1346,,
RUB-62501486,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,58.21,43.853,49.0,28.1694,,
RUB-62501492,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,47.401,146.447,34.0,17.0499,mean_median_divergence,
RUB-62501495,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,55.966,50.867,48.0,28.1694,,
RUB-62501499,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,167.213,73.426,163.0,66.717,,
RUB-62501512,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,97.583,69.262,82.5,30.3933,,
RUB-62501515,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,62.836,41.544,54.0,26.6868,,
RUB-62501517,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,103.895,53.481,91.5,54.1149,,
RUB-62501518,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,322,159.758,675.114,95.0,45.9606,mean_median_divergence,
RUB-62501519,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,81.926,287.746,56.0,37.065,mean_median_divergence,
RUB-62501521,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,74.028,28.586,69.0,24.4629,,
RUB-62501522,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,99.302,39.554,94.0,34.0998,,
RUB-62501525,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,69.512,52.403,59.0,29.652,,
RUB-62501526,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,128.099,45.585,123.0,45.2193,,
RUB-62501527,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,82.037,42.142,75.0,35.5824,,
RUB-62501529,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,238.932,75.719,228.0,80.8017,,
RUB-62501533,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,83.92,55.505,74.5,30.3933,,
RUB-62501535,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,157.343,93.521,137.5,67.4583,,
RUB-62501539,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,49.071,23.877,43.0,19.2738,,
RUB-62501541,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,161.753,86.67,155.5,91.1799,,
RUB-62501575,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,77.04,27.409,71.5,24.4629,,
RUB-72501730,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,162.614,126.559,119.5,60.0453,mean_median_divergence,
RUB-72501735,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,40.346,22.432,36.0,16.3086,,
RUB-72501737,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,202.781,99.245,188.5,94.1451,,
